Name,gender_id,birth_year,death_year,data_source_id,religion_id
William Aldam,1,1813,1890,1,1
S  Stafford Allen,1,1840,1870,1,1
Edward Backhouse,1,1808,1879,1,1
James (1) Backhouse,1,1794,1869,1,1
James Bell,1,1818,1872,1,1
Antonio Brady,1,1811,1881,1,1
William Bull,1,1828,1902,1,1
Henry Christy,1,1810,1865,1,1
William Clay,1,1791,1869,1,1
x Collier,1,NA,NA,1,1
Henry Crowley,1,NA,1887,1,1
David Dale,1,1829,1906,1,1
James T J Doyle,1,NA,NA,1,1
Robert Nicholas Fowler,1,1828,1891,1,1
William Fowler,1,NA,NA,1,1
Charles Henry Fox,1,NA,NA,1,1
George Stacey Gibson,1,1818,1883,1,1
John Henry Gurney,1,1819,1890,1,1
Thomas (1) Hodgkin,1,1798,1866,1,1
William Holmes,1,NA,NA,1,1
Jonathan Hutchinson,1,1828,1913,1,1
Joseph Lister,1,1827,1912,1,1
William Horton Lloyd,1,NA,NA,1,1
J Robinson,1,NA,NA,1,1
John Ross,1,NA,NA,1,1
E T Wakefield,1,NA,NA,1,1
James Wilson,1,NA,NA,1,1
William Wilson,1,1785,1868,1,1
William Spicer Wood,1,NA,1902,1,1
Arthur Albright,,NA,NA,3,1
Rachel Albright,,NA,NA,3,1
William Albright,,NA,NA,3,1
William Jun Aldam,,NA,NA,3,1
Frederick Alexander,,NA,NA,3,1
Samuel Allen,,NA,NA,3,1
John Arch,,NA,NA,3,1
R Arthington,,NA,NA,3,1
R Jun Arthington,,NA,NA,3,1
C Ashby,,NA,NA,3,1
T Jun Ashby,,NA,NA,3,1
Thomas Ashby,,NA,NA,3,1
Thomas Jun Ashby,,NA,NA,3,1
Catherine Backhouse,,NA,NA,3,1
Jonathan Backhouse,,NA,NA,3,1
S Baker,,NA,NA,3,1
Robert Barclay,,NA,NA,3,1
Richard Barrington,,NA,NA,3,1
Edward Beck,,NA,NA,3,1
Eliza Bell,,NA,NA,3,1
Frederick J Bell,,NA,NA,3,1
S S Bell,,NA,NA,3,1
Samuel Bewley,,NA,NA,3,1
x Biffin,,NA,NA,3,1
J Binyon,,NA,NA,3,1
E L Birkbeck,,NA,NA,3,1
H Birkbeck,,NA,NA,3,1
W Blaine,,NA,NA,3,1
Elizabeth Bowley,,NA,NA,3,1
Henry Brady,,NA,NA,3,1
Charles L Braithwaite,,NA,NA,3,1
L Braithwaite,,NA,NA,3,1
Isaac Brown,,NA,NA,3,1
Joshua Brown,,NA,NA,3,1
Lydia Brown,,NA,NA,3,1
Sarah Burgess,,NA,NA,3,1
Thomas Burgess,,NA,NA,3,1
W Catchpool,,NA,NA,3,1
x Charleton,,NA,NA,3,1
Samuel Clark,,NA,NA,3,1
W Clemes,,NA,NA,3,1
C Clothier,,NA,NA,3,1
Joseph Cooper,,NA,NA,3,1
George Crosfield,,NA,NA,3,1
Joseph Crosland,,NA,NA,3,1
A Crowley,,NA,NA,3,1
A Dale,,NA,NA,3,1
Elizabeth S Dawes,,NA,NA,3,1
John Dodshon,,NA,NA,3,1
Daniel Doncaster,,NA,NA,3,1
Elizabeth Dyer,,NA,NA,3,1
R Dymond,,NA,NA,3,1
William Dyson,,NA,NA,3,1
A Ellis,,NA,NA,3,1
Thomas Evans,,NA,NA,3,1
Ann Everett,,NA,NA,3,1
Joseph Farden,,NA,NA,3,1
John Fell,,NA,NA,3,1
Mary Fell,,NA,NA,3,1
S H Fisher,,NA,NA,3,1
Caleb Fletcher,,NA,NA,3,1
Martha Fletcher,,NA,NA,3,1
John Ford,,NA,NA,3,1
George Fox,,NA,NA,3,1
Henry Fox,,NA,NA,3,1
Robert Were Fox,,NA,NA,3,1
x Fox,,NA,NA,3,1
W Gayner,,NA,NA,3,1
Joseph Gibbens,,NA,NA,3,1
Ann Gibson,,NA,NA,3,1
Francis Gibson,,NA,NA,3,1
F  E Gibson,,NA,NA,3,1
W G Gibson,,NA,NA,3,1
T Gill,,NA,NA,3,1
J Gillett,,NA,NA,3,1
John Gillett,,NA,NA,3,1
J Gilpin,,NA,NA,3,1
James Gingell,,NA,NA,3,1
John Good,,NA,NA,3,1
Josiah Grace,,NA,NA,3,1
Thomas Graham,,NA,NA,3,1
John Green,,NA,NA,3,1
T Gregory,,NA,NA,3,1
G Grimshaw,,NA,NA,3,1
x Hadfield,,NA,NA,3,1
Isaac Hadwen,,NA,NA,3,1
Robert Harding,,NA,NA,3,1
Henry Harris,,NA,NA,3,1
Lydia Harris,,NA,NA,3,1
Thomas Harvey,,NA,NA,3,1
George Head,,NA,NA,3,1
Sarah Head,,NA,NA,3,1
H Headley,,NA,NA,3,1
W Hewitson,,NA,NA,3,1
Charles Hicks,,NA,NA,3,1
Elizabeth Hills,,NA,NA,3,1
James Hills,,NA,NA,3,1
John Hills,,NA,NA,3,1
Gurney Hoare,,NA,NA,3,1
Maria Hooper,,NA,NA,3,1
J Hopkins,,NA,NA,3,1
Rebecca Hopkins,,NA,NA,3,1
Mary Horsnail,,NA,NA,3,1
Elizabeth Howard (2),,NA,NA,3,1
Elizabeth Howard,,NA,NA,3,1
Thomas Hughes,,NA,NA,3,1
Henry Hunt,,NA,NA,3,1
T Hunt,,NA,NA,3,1
J Hurnard,,NA,NA,3,1
John C Isaac,,NA,NA,3,1
John James,,NA,NA,3,1
Charles Janson,,NA,NA,3,1
Samuel Jesper,,NA,NA,3,1
Benjamin Jowett (2),,NA,NA,3,1
John Jun Jowett,,NA,NA,3,1
Robert Jowett (2),,NA,NA,3,1
John King,,NA,NA,3,1
Samuel King,,NA,NA,3,1
Thomas King,,NA,NA,3,1
Alfred Kitching,,NA,NA,3,1
C Knight,,NA,NA,3,1
John Lee,,NA,NA,3,1
x Leitch,,NA,NA,3,1
Thomas Letchmore,,NA,NA,3,1
Thomas x Jun Letchmore,,NA,NA,3,1
Thomas Letchworth,,NA,NA,3,1
Thomas Jun Letchworth,,NA,NA,3,1
Thomas x Jun Letchworth,,NA,NA,3,1
S Lloyd,,NA,NA,3,1
Edward Lucas,,NA,NA,3,1
Rebecca Lucas,,NA,NA,3,1
Thomas Marriage,,NA,NA,3,1
John Marsh,,NA,NA,3,1
R Marsh,,NA,NA,3,1
William Matthews,,NA,NA,3,1
William Mattravers,,NA,NA,3,1
D Miller,,NA,NA,3,1
John Morrison,,NA,NA,3,1
E Neave,,NA,NA,3,1
Mary Overend,,NA,NA,3,1
W J Palmer,,NA,NA,3,1
J Pears,,NA,NA,3,1
Edward Priestman (2),,NA,NA,3,1
John Priestman,,NA,NA,3,1
James Ransome,,NA,NA,3,1
Robert Ransome,,NA,NA,3,1
William Rathbone,,NA,NA,3,1
J Jun Read,,NA,NA,3,1
Edward Richardson,,NA,NA,3,1
Henry Richardson,,NA,NA,3,1
W Richardson,,NA,NA,3,1
R M Rickman,,NA,NA,3,1
S Rickman,,NA,NA,3,1
J Rooke,,NA,NA,3,1
Alfred Rosling,,NA,NA,3,1
John S Rowntree,,NA,NA,3,1
Joseph Rowntree,,NA,NA,3,1
Samuel Rundall,,NA,NA,3,1
Henry Russell,,NA,NA,3,1
Joseph Sams,,NA,NA,3,1
J A Sanders,,NA,NA,3,1
Mary Sansom,,NA,NA,3,1
Micheal Scatterthwaite,,NA,NA,3,1
S Scatterthwaite,,NA,NA,3,1
Benjamin Seebohm,,NA,NA,3,1
William Seebohm,,NA,NA,3,1
Charles Sessions,,NA,NA,3,1
Robert Simpson,,NA,NA,3,1
Alfred Smith,,NA,NA,3,1
Edward Smith,,NA,NA,3,1
Richard Smith,,NA,NA,3,1
Ann Snowden,,NA,NA,3,1
C Southall,,NA,NA,3,1
William Southall,,NA,NA,3,1
William Sparkes,,NA,NA,3,1
Joseph F Spence,,NA,NA,3,1
L Squire,,NA,NA,3,1
Mary Steevens,,NA,NA,3,1
Henry Sterry,,NA,NA,3,1
Richard Sterry,,NA,NA,3,1
John Stevens,,NA,NA,3,1
Joseph Sturge (Mrs),,NA,NA,3,1
Sarah Styles,,NA,NA,3,1
George N Tatham,,NA,NA,3,1
Mary Ann Tatham,,NA,NA,3,1
Edward Taylor,,NA,NA,3,1
F Taylor,,NA,NA,3,1
H Taylor,,NA,NA,3,1
A Thistlethwaite,,NA,NA,3,1
F J Thompson,,NA,NA,3,1
Josiah Thompson,,NA,NA,3,1
Thomas Thompson,,NA,NA,3,1
W Thompson,,NA,NA,3,1
George Treffry,,NA,NA,3,1
Frederick Tuckett,,NA,NA,3,1
W Tuke,,NA,NA,3,1
Thomas Turner,,NA,NA,3,1
James E Veale,,NA,NA,3,1
Jonathan Walker,,NA,NA,3,1
Ann Wallis,,NA,NA,3,1
John Warner,,NA,NA,3,1
Alfred Waterhouse,,NA,NA,3,1
Mary Waterhouse,,NA,NA,3,1
R Waterhouse,,NA,NA,3,1
Thomas Wedmore,,NA,NA,3,1
James Wells,,NA,NA,3,1
Daniel Wheeler,,NA,NA,3,1
W Whiting,,NA,NA,3,1
John Jun Williams,,NA,NA,3,1
W R Williams,,NA,NA,3,1
Charles Wilson,,NA,NA,3,1
George Wilson,,NA,NA,3,1
Isaac Wilson,,NA,NA,3,1
Joseph Wilson,,NA,NA,3,1
Rebecca Wilson,,NA,NA,3,1
H Wise,,NA,NA,3,1
William Woods,,NA,NA,3,1
Louisa Wright,,NA,NA,3,1
James Bowden,,NA,NA,2,1
William Nash,,NA,NA,2,1
Joseph Sturge,,NA,NA,2,1
William Jun Grimshaw,,NA,NA,2,1
Henry Knight,,NA,NA,3,1
Edward Paull,,NA,NA,2,1
Robert Jun Alsop,,NA,NA,2,1
Abram Rawlinson Barclay,,NA,NA,2,1
John Barclay,,NA,NA,2,1
Richard Barrett,,NA,NA,2,1
John Thomas Barry,,NA,NA,3,1
Peter Bedford,,NA,NA,3,1
John Bell,,NA,NA,3,1
Thomas Christy,,NA,NA,3,1
Samuel Darton,,NA,NA,2,1
Josiah Forster,,NA,NA,3,1
Robert Forster,,NA,NA,3,1
William Forster,,NA,NA,3,1
Joseph Talwin Foster,,NA,NA,2,1
John Hamilton,,NA,NA,2,1
Edwd Harris,,NA,NA,2,1
Geo Holmes,,NA,NA,2,1
Robert Howard,,NA,NA,3,1
John Kitching,,NA,NA,3,1
Joseph Neatby,,NA,NA,3,1
John Sanderson,,NA,NA,3,1
Joseph Shewell,,NA,NA,3,1
George Stacey,,NA,NA,2,1
Joseph Storrs,,NA,NA,2,1
John M Albright,,NA,NA,3,1
G W Alexander,,NA,NA,3,1
Henry Alexander,,NA,NA,3,1
R D Alexander,,NA,NA,3,1
Thomas Allis,,NA,NA,3,1
John D Appleton,,NA,NA,3,1
Caroline Armistead,,NA,NA,3,1
Joseph Armistead,,NA,NA,3,1
Edward Ash,,NA,NA,3,1
Alfred Backhouse,,NA,NA,3,1
Edmund Backhouse,,NA,NA,3,1
Edward Jun Backhouse,,NA,NA,3,1
James Jun Backhouse,,NA,NA,3,1
John Church Backhouse,,NA,NA,3,1
J E Baker,,NA,NA,3,1
James Baker,,NA,NA,3,1
A P Balkwill,,NA,NA,3,1
William Ball,,NA,NA,3,1
Eliza Barclay,,NA,NA,3,1
J Gurney Barclay,,NA,NA,3,1
Jonathan Barrett,,NA,NA,3,1
R Barrett,,NA,NA,3,1
R C Barrow,,NA,NA,3,1
S Barter,,NA,NA,3,1
John D Bassett,,NA,NA,3,1
John Baynes,,NA,NA,3,1
John Beaumont,,NA,NA,3,1
Rebecca Beaumont,,NA,NA,3,1
William Beaumont,,NA,NA,3,1
Samuel Beck,,NA,NA,3,1
Deborah Beesley,,NA,NA,3,1
Paul Bevan,,NA,NA,3,1
Robert Bevan,,NA,NA,3,1
Martha A Binyon,,NA,NA,3,1
Thomas Binyon,,NA,NA,3,1
S Birchall,,NA,NA,3,1
Thomas Blain,,NA,NA,3,1
J Blunsom,,NA,NA,3,1
W Bott,,NA,NA,3,1
Christopher Bowley,,NA,NA,3,1
W C Bowley,,NA,NA,3,1
Edwin Bracher,,NA,NA,3,1
James Bracher,,NA,NA,3,1
Lucy Bradshaw,,NA,NA,3,1
G S Brady,,NA,NA,3,1
Joseph B Braithwaite,,NA,NA,3,1
S Braithwaite,,NA,NA,3,1
Charles Brewin,,NA,NA,3,1
Robert Brewin,,NA,NA,3,1
Thomas Brewin,,NA,NA,3,1
William Brewin,,NA,NA,3,1
Francis Brown,,NA,NA,3,1
Gopsill Brown,,NA,NA,3,1
W W Brown,,NA,NA,3,1
J F Burgess,,NA,NA,3,1
Wilson Burgess,,NA,NA,3,1
Henry Burlingham,,NA,NA,3,1
Jonathan Burtt,,NA,NA,3,1
P Burtt,,NA,NA,3,1
James Cadbury,,NA,NA,3,1
John M Candler,,NA,NA,3,1
Edward Carroll,,NA,NA,3,1
Joseph Cash,,NA,NA,3,1
Newman Cash,,NA,NA,3,1
William Cash,,NA,NA,3,1
R D Catchpool,,NA,NA,3,1
Thomas Catchpool,,NA,NA,3,1
Thomas Chalk,,NA,NA,3,1
Elizabeth Charelton,,NA,NA,3,1
James Charleton,,NA,NA,3,1
Robert Charleton,,NA,NA,3,1
Richard Christy,,NA,NA,3,1
Cyrus Clark,,NA,NA,3,1
James Clark (2),,NA,NA,3,1
Joseph Clark,,NA,NA,3,1
W S Clark,,NA,NA,3,1
George Cook,,NA,NA,3,1
J H Cotterell,,NA,NA,3,1
Elliott Cresson,,NA,NA,3,1
W D Crewdson,,NA,NA,3,1
Ann Cropper,,NA,NA,3,1
James Cropper,,NA,NA,3,1
John Cropper,,NA,NA,3,1
Joseph Crosfield,,NA,NA,3,1
William Crosfield,,NA,NA,3,1
Jeremiah Cross,,NA,NA,3,1
Martha Cross,,NA,NA,3,1
Edward A Crouch,,NA,NA,3,1
Abraham Crowley,,NA,NA,3,1
Frederick Crowley,,NA,NA,3,1
J Cudworth,,NA,NA,3,1
Mary Cudworth,,NA,NA,3,1
William Cudworth,,NA,NA,3,1
Lucy Darby,,NA,NA,3,1
Richard Day,,NA,NA,3,1
William Dent,,NA,NA,3,1
Barnard Dickinson,,NA,NA,3,1
Elizabeth G Dimsdale,,NA,NA,3,1
J Doubleday,,NA,NA,3,1
R Doubleday,,NA,NA,3,1
Joseph Eaton,,NA,NA,3,1
Thomas Emmott,,NA,NA,3,1
Mary Exton,,NA,NA,3,1
William Exton,,NA,NA,3,1
Abraham Fisher,,NA,NA,3,1
Rachel Fowler,,NA,NA,3,1
Thomas Fowler,,NA,NA,3,1
Alfred L Fox,,NA,NA,3,1
Francis E Fox,,NA,NA,3,1
Frederick H Fox,,NA,NA,3,1
J G Fox,,NA,NA,3,1
R Barclay Fox,,NA,NA,3,1
Philip Frith,,NA,NA,3,1
Frederick Fryer,,NA,NA,3,1
John Gayner,,NA,NA,3,1
Deborah Gibson,,NA,NA,3,1
E Gilkes,,NA,NA,3,1
Charles Gillett,,NA,NA,3,1
Jonathan Gillett,,NA,NA,3,1
Burwood Godlee,,NA,NA,3,1
Alexander Grace,,NA,NA,3,1
Anna Gurney,,NA,NA,3,1
Edmund Gurney,,NA,NA,3,1
Henry E Gurney,,NA,NA,3,1
John Gurney,,NA,NA,3,1
Samuel Gurney,,NA,NA,3,1
Daniel P Hack,,NA,NA,3,1
John Barton Hack,,NA,NA,3,1
Cornelius Hanbury,,NA,NA,3,1
Cornelius x Jun Hanbury,,NA,NA,3,1
Daniel Bell Hanbury,,NA,NA,3,1
Samuel Hare,,NA,NA,3,1
Charles L Harford,,NA,NA,3,1
John Harford,,NA,NA,3,1
Summers Harford,,NA,NA,3,1
William Hargreaves,,NA,NA,3,1
John Harlock,,NA,NA,3,1
Theodore Harris,,NA,NA,3,1
Gray Hester,,NA,NA,3,1
M A Hewitson,,NA,NA,3,1
Henry Hipsley,,NA,NA,3,1
John Hodgkin,,NA,NA,3,1
J Holdsworth,,NA,NA,3,1
Richard Holdsworth,,NA,NA,3,1
G B Holmes,,NA,NA,3,1
S Horman-Fisher,,NA,NA,3,1
Robert Horne,,NA,NA,3,1
John Horniman,,NA,NA,3,1
Charles Horsnaill,,NA,NA,3,1
W C Horsnaill,,NA,NA,3,1
Sarah Hotham,,NA,NA,3,1
Luke Howard,,NA,NA,3,1
William Howitt,,NA,NA,3,1
Rachel Hubbert,,NA,NA,3,1
Joseph Hudson,,NA,NA,3,1
John Huntley,,NA,NA,3,1
Joseph Huntley,,NA,NA,3,1
Martha Hutchinson,,NA,NA,3,1
R Impey,,NA,NA,3,1
Edward James,,NA,NA,3,1
A Janson,,NA,NA,3,1
William Janson,,NA,NA,3,1
Andrew Johnston,,NA,NA,3,1
Andrew & Jun Johnston,,NA,NA,3,1
John Jowett,,NA,NA,3,1
W D King,,NA,NA,3,1
J H Knight,,NA,NA,3,1
T Knott,,NA,NA,3,1
Edward A Leatham,,NA,NA,3,1
Isabella Lister,,NA,NA,3,1
Wilson Lloyd,,NA,NA,3,1
Haggar Lowe,,NA,NA,3,1
Edmund Lucas,,NA,NA,3,1
Frederick Lucas,,NA,NA,3,1
Jeffrey Lucas,,NA,NA,3,1
Martha Lucas,,NA,NA,3,1
Samuel Lucas,,NA,NA,3,1
William Jun Lucas,,NA,NA,3,1
Harford Lury,,NA,NA,3,1
J E Lury,,NA,NA,3,1
W Mann,,NA,NA,3,1
Caroline Marriage,,NA,NA,3,1
Edward Marsh,,NA,NA,3,1
Thomas William Marsh,,NA,NA,3,1
Thomas Maw,,NA,NA,3,1
Edward C May,,NA,NA,3,1
Francis May,,NA,NA,3,1
John Mayfield,,NA,NA,3,1
Josiah Merrick,,NA,NA,3,1
John Morland,,NA,NA,3,1
George L Neighbour,,NA,NA,3,1
Josiah Newman,,NA,NA,3,1
William Norris,,NA,NA,3,1
Thomas Norton,,NA,NA,3,1
William Norton,,NA,NA,3,1
William Nutter,,NA,NA,3,1
J J Packer,,NA,NA,3,1
George Palmer,,NA,NA,3,1
Reuben C Payne,,NA,NA,3,1
Arthur Pease,,NA,NA,3,1
Edward Pease,,NA,NA,3,1
Gurney Pease,,NA,NA,3,1
Henry Fell Pease,,NA,NA,3,1
John Pease,,NA,NA,3,1
John B Pease,,NA,NA,3,1
Joseph Pease,,NA,NA,3,1
Joseph Whitwell Pease,,NA,NA,3,1
Susan Pease,,NA,NA,3,1
Thomas Pease,,NA,NA,3,1
Algernon Peckover,,NA,NA,3,1
William Peckover,,NA,NA,3,1
Robert H Penney,,NA,NA,3,1
Isaac Pitt,,NA,NA,3,1
Jacob Post,,NA,NA,3,1
Joseph T Price,,NA,NA,3,1
Lydia Prideaux,,NA,NA,3,1
Samuel Priestman,,NA,NA,3,1
John Pryor,,NA,NA,3,1
G R Pumphrey,,NA,NA,3,1
W P Read,,NA,NA,3,1
Isaac Reckitt,,NA,NA,3,1
Jonathan Rees,,NA,NA,3,1
Jane Reynolds,,NA,NA,3,1
G E Richardson,,NA,NA,3,1
John Rickman,,NA,NA,3,1
Josephina Rickman,,NA,NA,3,1
Matilda Rickman,,NA,NA,3,1
Priscilla Rickman,,NA,NA,3,1
R Rickman,,NA,NA,3,1
R P Rickman,,NA,NA,3,1
Isaac Robson,,NA,NA,3,1
J S Robson,,NA,NA,3,1
Joseph Rosling,,NA,NA,3,1
Samuel Rosling,,NA,NA,3,1
John Rowntree,,NA,NA,3,1
W Rowntree,,NA,NA,3,1
Sarah Rundell,,NA,NA,3,1
John F Rutter,,NA,NA,3,1
Samuel Rutter,,NA,NA,3,1
E Sayce,,NA,NA,3,1
Hannah Scarr,,NA,NA,3,1
F Seebohm,,NA,NA,3,1
John R Seekings,,NA,NA,3,1
James Sessions,,NA,NA,3,1
Lydia Sessions,,NA,NA,3,1
Robert Sessions,,NA,NA,3,1
Abraham Sewell,,NA,NA,3,1
E F Sewell,,NA,NA,3,1
Joseph Sewell,,NA,NA,3,1
Phillip Sewell,,NA,NA,3,1
Joseph Sharples,,NA,NA,3,1
John T Shewell,,NA,NA,3,1
Thomas Short,,NA,NA,3,1
W Dillwyn Sims,,NA,NA,3,1
W Skinner,,NA,NA,3,1
Bartholomew Smith,,NA,NA,3,1
George Smithson,,NA,NA,3,1
E P Southall,,NA,NA,3,1
Sarah Southall,,NA,NA,3,1
J M Sparkes,,NA,NA,3,1
H Squire,,NA,NA,3,1
John Stansfield,,NA,NA,3,1
Joseph Sterry,,NA,NA,3,1
Sarah Sterry,,NA,NA,3,1
J L Stevens,,NA,NA,3,1
Charles Sturge,,NA,NA,3,1
Edmund Sturge,,NA,NA,3,1
George Sturge,,NA,NA,3,1
H J Sturge,,NA,NA,3,1
Samuel Sturge,,NA,NA,3,1
Thomas M Sturge,,NA,NA,3,1
Walter Sturge,,NA,NA,3,1
Jemima Swan,,NA,NA,3,1
William Tanner,,NA,NA,3,1
W Tatum,,NA,NA,3,1
Edward Thomas,,NA,NA,3,1
George Thomas,,NA,NA,3,1
Samuel Thompson,,NA,NA,3,1
Fielden Thorpe,,NA,NA,3,1
E O Tindale,,NA,NA,3,1
Robert Tindall,,NA,NA,3,1
Joshua Treffry,,NA,NA,3,1
Nathaniel Tregellis,,NA,NA,3,1
Elizabeth Tuckett,,NA,NA,3,1
Francis Tuckett,,NA,NA,3,1
P Debell Tuckett,,NA,NA,3,1
D Tuke,,NA,NA,3,1
J H Tuke,,NA,NA,3,1
Samuel Tuke,,NA,NA,3,1
Ann Tweedy,,NA,NA,3,1
R Tweedy,,NA,NA,3,1
William Tweedy,,NA,NA,3,1
Richard Veale,,NA,NA,3,1
William Veale,,NA,NA,3,1
John Wadge,,NA,NA,3,1
F J Walker,,NA,NA,3,1
Marriage Wallis,,NA,NA,3,1
Charles B Warner,,NA,NA,3,1
Septimus Warner,,NA,NA,3,1
Lucy Westcombe,,NA,NA,3,1
Thomas Westcombe,,NA,NA,3,1
Benjamin Wheeler,,NA,NA,3,1
Frederick Wheeler,,NA,NA,3,1
Samuel Wheeler,,NA,NA,3,1
John Whiting,,NA,NA,3,1
John Wiblin,,NA,NA,3,1
Caleb Williams,,NA,NA,3,1
John E Wilson,,NA,NA,3,1
Joshua Wilson,,NA,NA,3,1
F Woodhead,,NA,NA,3,1
W Woolston,,NA,NA,3,1
Francis Wright,,NA,NA,3,1
S W Wright,,NA,NA,3,1
