Source,Target,religion_name,first_year,last_year
William Aldam,ESL,Quaker,1844,1849
Edward Backhouse,ESL,Quaker,1870,1872
James (1) Backhouse,ESL,Quaker,1869,1870
James Bell,ESL,Quaker,1852,1863
Henry Christy,ESL,Quaker,1854,1866
William Clay,ESL,Quaker,1861,1869
x Collier,ESL,Quaker,1844,1845
David Dale,ESL,Quaker,1860,1864
Robert Nicholas Fowler,ESL,Quaker,1851,1872
William Fowler,ESL,Quaker,1851,1852
Charles Henry Fox,ESL,Quaker,1861,1872
John Henry Gurney,ESL,Quaker,1860,1868
Thomas (1) Hodgkin,ESL,Quaker,1844,1863
Joseph Lister,ESL,Quaker,1844,1848
William Horton Lloyd,ESL,Quaker,1844,1848
S  Stafford Allen,ASL,Quaker,1863,1871
Antonio Brady,ASL,Quaker,1864,1872
William Bull,ASL,Quaker,1867,1872
Henry Crowley,ASL,Quaker,1864,1872
James T J Doyle,ASL,Quaker,1865,1869
George Stacey Gibson,ASL,Quaker,1864,1867
William Holmes,ASL,Quaker,1865,1870
Jonathan Hutchinson,ASL,Quaker,1863,1872
J Robinson,ASL,Quaker,1865,1866
E T Wakefield,ASL,Quaker,1865,1869
James Wilson,ASL,Quaker,1865,1866
William Wilson,ASL,Quaker,1865,1867
William Spicer Wood,ASL,Quaker,1863,1872
Edward Backhouse,AI,Quaker,1870,1872
Antonio Brady,AI,Quaker,1864,1872
William Bull,AI,Quaker,1867,1872
Henry Crowley,AI,Quaker,1864,1872
Robert Nicholas Fowler,AI,Quaker,1851,1872
Charles Henry Fox,AI,Quaker,1861,1872
Jonathan Hutchinson,AI,Quaker,1863,1872
William Spicer Wood,AI,Quaker,1863,1872
William Aldam,APS,Quaker,1838,1849
James Bell,APS,Quaker,1847,1863
Henry Christy,APS,Quaker,1840,1866
William Clay,APS,Quaker,1839,1869
William Spicer Wood,APS,Quaker,1864,1868
William Wilson,APS,Quaker,1838,1866
James Wilson,APS,Quaker,1862,1868
E T Wakefield,APS,Quaker,1853,1865
John Ross,APS,Quaker,1839,1853
J Robinson,APS,Quaker,1839,1841
William Horton Lloyd,APS,Quaker,1862,1863
Joseph Lister,APS,Quaker,1851,1856
Jonathan Hutchinson,APS,Quaker,1857,1867
William Holmes,APS,Quaker,1840,1868
Thomas (1) Hodgkin,APS,Quaker,1838,1867
Thomas (1) Hodgkin,QCA,Quaker,1839,1848
John Henry Gurney,APS,Quaker,1851,1861
George Stacey Gibson,APS,Quaker,1851,1864
Charles Henry Fox,APS,Quaker,1838,1853
William Fowler,APS,Quaker,1860,1868
Robert Nicholas Fowler,APS,Quaker,1851,1868
James T J Doyle,APS,Quaker,1839,1841
David Dale,APS,Quaker,1864,1866
Henry Crowley,APS,Quaker,1851,1856
x Collier,APS,Quaker,1860,1868
William Bull,APS,Quaker,1854,1855
Antonio Brady,APS,Quaker,1861,1864
James (1) Backhouse,APS,Quaker,1851,1868
Edward Backhouse,APS,Quaker,1839,1868
S  Stafford Allen,APS,Quaker,1861,1868
Arthur Albright,APS,Quaker,1861,1868
Rachel Albright,APS,Quaker,1860,1868
William Albright,APS,Quaker,1852,1861
William Jun Aldam,APS,Quaker,1838,1852
Frederick Alexander,APS,Quaker,1839,1841
Samuel Allen,APS,Quaker,1851,1865
John Arch,APS,Quaker,1852,1855
R Arthington,APS,Quaker,1855,1863
R Jun Arthington,APS,Quaker,1860,1863
C Ashby,APS,Quaker,1860,1861
T Jun Ashby,APS,Quaker,1861,1863
Thomas Ashby,APS,Quaker,1861,1868
Thomas Jun Ashby,APS,Quaker,1865,1866
Catherine Backhouse,APS,Quaker,1851,1862
Jonathan Backhouse,APS,Quaker,1838,1852
S Baker,APS,Quaker,1839,1841
Robert Barclay,APS,Quaker,1838,1856
Richard Barrington,APS,Quaker,1864,1868
Edward Beck,APS,Quaker,1838,1860
Eliza Bell,APS,Quaker,1851,1868
Frederick J Bell,APS,Quaker,1851,1858
S S Bell,APS,Quaker,1857,1867
Samuel Bewley,APS,Quaker,1866,1868
x Biffin,APS,Quaker,1861,1862
J Binyon,APS,Quaker,1856,1858
E L Birkbeck,APS,Quaker,1866,1867
H Birkbeck,APS,Quaker,1860,1861
W Blaine,APS,Quaker,1861,1863
Elizabeth Bowley,APS,Quaker,1860,1868
Henry Brady,APS,Quaker,1866,1868
Charles L Braithwaite,APS,Quaker,1866,1867
L Braithwaite,APS,Quaker,1860,1861
Isaac Brown,APS,Quaker,1839,1868
Joshua Brown,APS,Quaker,1860,1868
Lydia Brown,APS,Quaker,1862,1868
Sarah Burgess,APS,Quaker,1866,1868
Thomas Burgess,APS,Quaker,1860,1862
W Catchpool,APS,Quaker,1855,1860
x Charleton,APS,Quaker,1860,1861
Samuel Clark,APS,Quaker,1839,1841
W Clemes,APS,Quaker,1853,1855
C Clothier,APS,Quaker,1860,1861
Joseph Cooper,APS,Quaker,1851,1868
George Crosfield,APS,Quaker,1838,1839
Joseph Crosland,APS,Quaker,1866,1868
A Crowley,APS,Quaker,1855,1864
A Dale,APS,Quaker,1861,1862
Elizabeth S Dawes,APS,Quaker,1867,1868
John Dodshon,APS,Quaker,1860,1868
Daniel Doncaster,APS,Quaker,1866,1868
Elizabeth Dyer,APS,Quaker,1860,1868
R Dymond,APS,Quaker,1862,1863
William Dyson,APS,Quaker,1864,1866
A Ellis,APS,Quaker,1860,1863
Thomas Evans,APS,Quaker,1860,1866
Ann Everett,APS,Quaker,1839,1862
Joseph Farden,APS,Quaker,1851,1867
John Fell,APS,Quaker,1852,1853
Mary Fell,APS,Quaker,1840,1841
S H Fisher,APS,Quaker,1855,1856
Caleb Fletcher,APS,Quaker,1854,1866
Martha Fletcher,APS,Quaker,1854,1856
John Ford,APS,Quaker,1854,1858
George Fox,APS,Quaker,1862,1868
Henry Fox,APS,Quaker,1862,1868
Robert Were Fox,APS,Quaker,1838,1868
x Fox,APS,Quaker,1861,1862
W Gayner,APS,Quaker,1855,1856
Joseph Gibbens,APS,Quaker,1860,1865
Ann Gibson,APS,Quaker,1860,1866
Francis Gibson,APS,Quaker,1840,1862
F  E Gibson,APS,Quaker,1860,1862
W G Gibson,APS,Quaker,1862,1863
T Gill,APS,Quaker,1861,1863
J Gillett,APS,Quaker,1863,1864
John Gillett,APS,Quaker,1860,1864
J Gilpin,APS,Quaker,1860,1863
James Gingell,APS,Quaker,1860,1863
John Good,APS,Quaker,1861,1868
Josiah Grace,APS,Quaker,1860,1862
Thomas Graham,APS,Quaker,1851,1859
John Green,APS,Quaker,1860,1864
T Gregory,APS,Quaker,1860,1863
G Grimshaw,APS,Quaker,1861,1863
x Hadfield,APS,Quaker,1864,1868
Isaac Hadwen,APS,Quaker,1852,1866
Robert Harding,APS,Quaker,1861,1868
Henry Harris,APS,Quaker,1861,1868
Lydia Harris,APS,Quaker,1840,1863
Thomas Harvey,APS,Quaker,1852,1868
George Head,APS,Quaker,1838,1866
Sarah Head,APS,Quaker,1859,1868
H Headley,APS,Quaker,1860,1861
W Hewitson,APS,Quaker,1860,1861
Charles Hicks,APS,Quaker,1862,1868
Elizabeth Hills,APS,Quaker,1863,1868
James Hills,APS,Quaker,1861,1862
John Hills,APS,Quaker,1853,1865
Gurney Hoare,APS,Quaker,1838,1841
Maria Hooper,APS,Quaker,1860,1863
J Hopkins,APS,Quaker,1839,1861
Rebecca Hopkins,APS,Quaker,1860,1868
Mary Horsnail,APS,Quaker,1851,1858
Elizabeth Howard (2),APS,Quaker,1860,1868
Elizabeth Howard,APS,Quaker,1851,1866
Thomas Hughes,APS,Quaker,1867,1868
Henry Hunt,APS,Quaker,1838,1862
T Hunt,APS,Quaker,1862,1863
J Hurnard,APS,Quaker,1860,1862
John C Isaac,APS,Quaker,1855,1868
John James,APS,Quaker,1860,1861
Charles Janson,APS,Quaker,1861,1867
Samuel Jesper,APS,Quaker,1851,1853
Benjamin Jowett (2),APS,Quaker,1852,1868
John Jun Jowett,APS,Quaker,1851,1852
Robert Jowett (2),APS,Quaker,1852,1863
John King,APS,Quaker,1860,1863
Samuel King,APS,Quaker,1860,1868
Thomas King,APS,Quaker,1838,1841
Alfred Kitching,APS,Quaker,1860,1867
C Knight,APS,Quaker,1839,1840
John Lee,APS,Quaker,1851,1866
x Leitch,APS,Quaker,1847,1850
Thomas Letchmore,APS,Quaker,1860,1861
Thomas x Jun Letchmore,APS,Quaker,1860,1861
Thomas Letchworth,APS,Quaker,1862,1868
Thomas Jun Letchworth,APS,Quaker,1864,1867
Thomas x Jun Letchworth,APS,Quaker,1862,1866
S Lloyd,APS,Quaker,1865,1866
Edward Lucas,APS,Quaker,1852,1868
Rebecca Lucas,APS,Quaker,1851,1868
Thomas Marriage,APS,Quaker,1861,1863
John Marsh,APS,Quaker,1860,1868
R Marsh,APS,Quaker,1860,1862
William Matthews,APS,Quaker,1862,1867
William Mattravers,APS,Quaker,1839,1841
D Miller,APS,Quaker,1853,1860
John Morrison,APS,Quaker,1839,1852
E Neave,APS,Quaker,1861,1862
Mary Overend,APS,Quaker,1851,1856
W J Palmer,APS,Quaker,1862,1867
J Pears,APS,Quaker,1839,1852
Edward Priestman (2),APS,Quaker,1866,1867
John Priestman,APS,Quaker,1852,1863
James Ransome,APS,Quaker,1839,1863
Robert Ransome,APS,Quaker,1839,1866
William Rathbone,APS,Quaker,1839,1868
J Jun Read,APS,Quaker,1839,1841
Edward Richardson,APS,Quaker,1839,1862
Henry Richardson,APS,Quaker,1860,1868
W Richardson,APS,Quaker,1860,1862
R M Rickman,APS,Quaker,1862,1863
S Rickman,APS,Quaker,1838,1839
J Rooke,APS,Quaker,1860,1861
Alfred Rosling,APS,Quaker,1861,1867
John S Rowntree,APS,Quaker,1866,1867
Joseph Rowntree,APS,Quaker,1851,1856
Samuel Rundall,APS,Quaker,1839,1840
Henry Russell,APS,Quaker,1851,1854
Joseph Sams,APS,Quaker,1838,1856
J A Sanders,APS,Quaker,1861,1862
Mary Sansom,APS,Quaker,1855,1856
Micheal Scatterthwaite,APS,Quaker,1861,1862
S Scatterthwaite,APS,Quaker,1861,1863
Benjamin Seebohm,APS,Quaker,1865,1867
William Seebohm,APS,Quaker,1839,1862
Charles Sessions,APS,Quaker,1859,1867
Robert Simpson,APS,Quaker,1860,1868
Alfred Smith,APS,Quaker,1862,1863
Edward Smith,APS,Quaker,1862,1866
Richard Smith,APS,Quaker,1857,1868
Ann Snowden,APS,Quaker,1865,1868
C Southall,APS,Quaker,1861,1862
William Southall,APS,Quaker,1862,1867
William Sparkes,APS,Quaker,1861,1868
Joseph F Spence,APS,Quaker,1854,1868
L Squire,APS,Quaker,1839,1841
Mary Steevens,APS,Quaker,1861,1862
Henry Sterry,APS,Quaker,1851,1868
Richard Sterry,APS,Quaker,1851,1866
John Stevens,APS,Quaker,1839,1841
Joseph Sturge (Mrs),APS,Quaker,1838,1867
Sarah Styles,APS,Quaker,1866,1867
George N Tatham,APS,Quaker,1851,1853
Mary Ann Tatham,APS,Quaker,1851,1868
Edward Taylor,APS,Quaker,1861,1866
F Taylor,APS,Quaker,1861,1862
H Taylor,APS,Quaker,1861,1862
A Thistlethwaite,APS,Quaker,1860,1861
F J Thompson,APS,Quaker,1860,1868
Josiah Thompson,APS,Quaker,1861,1863
Thomas Thompson,APS,Quaker,1862,1863
W Thompson,APS,Quaker,1860,1863
George Treffry,APS,Quaker,1860,1868
Frederick Tuckett,APS,Quaker,1851,1855
W Tuke,APS,Quaker,1860,1861
Thomas Turner,APS,Quaker,1862,1868
James E Veale,APS,Quaker,1851,1868
Jonathan Walker,APS,Quaker,1860,1868
Ann Wallis,APS,Quaker,1851,1868
John Warner,APS,Quaker,1839,1841
Alfred Waterhouse,APS,Quaker,1861,1868
Mary Waterhouse,APS,Quaker,1852,1853
R Waterhouse,APS,Quaker,1861,1863
Thomas Wedmore,APS,Quaker,1861,1865
James Wells,APS,Quaker,1861,1862
Daniel Wheeler,APS,Quaker,1839,1840
W Whiting,APS,Quaker,1861,1862
John Jun Williams,APS,Quaker,1838,1839
W R Williams,APS,Quaker,1860,1861
Charles Wilson,APS,Quaker,1867,1868
George Wilson,APS,Quaker,1861,1868
Isaac Wilson,APS,Quaker,1838,1841
Joseph Wilson,APS,Quaker,1839,1840
Rebecca Wilson,APS,Quaker,1839,1862
H Wise,APS,Quaker,1839,1841
William Woods,APS,Quaker,1865,1866
Louisa Wright,APS,Quaker,1862,1868
James Bowden,QCA,Quaker,1842,1848
William Nash,QCA,Quaker,1842,1848
Joseph Sturge,QCA,Quaker,1842,1848
William Jun Grimshaw,QCA,Quaker,1840,1848
Henry Knight,APS,Quaker,1852,1859
Henry Knight,QCA,Quaker,1840,1848
Edward Paull,QCA,Quaker,1840,1848
Robert Jun Alsop,QCA,Quaker,1837,1848
Abram Rawlinson Barclay,QCA,Quaker,1837,1840
John Barclay,QCA,Quaker,1837,1840
Richard Barrett,QCA,Quaker,1837,1840
John Thomas Barry,APS,Quaker,1852,1854
John Thomas Barry,QCA,Quaker,1837,1848
Peter Bedford,APS,Quaker,1860,1861
Peter Bedford,QCA,Quaker,1837,1848
John Bell,APS,Quaker,1838,1841
John Bell,QCA,Quaker,1837,1840
Thomas Christy,APS,Quaker,1839,1841
Thomas Christy,QCA,Quaker,1837,1840
Samuel Darton,QCA,Quaker,1837,1840
Josiah Forster,APS,Quaker,1838,1868
Josiah Forster,QCA,Quaker,1837,1848
Robert Forster,APS,Quaker,1860,1868
Robert Forster,QCA,Quaker,1837,1848
William Forster,APS,Quaker,1838,1841
William Forster,QCA,Quaker,1837,1848
Joseph Talwin Foster,QCA,Quaker,1837,1848
John Hamilton,QCA,Quaker,1837,1840
Edwd Harris,QCA,Quaker,1837,1848
Geo Holmes,QCA,Quaker,1837,1840
Robert Howard,APS,Quaker,1838,1841
Robert Howard,QCA,Quaker,1837,1840
John Kitching,APS,Quaker,1860,1867
John Kitching,QCA,Quaker,1837,1840
