Source,Target,religion_name,first_year,last_year
Joseph Neatby,APS,Quaker,1851,1853
Joseph Neatby,QCA,Quaker,1837,1848
John Sanderson,APS,Quaker,1838,1841
John Sanderson,QCA,Quaker,1837,1848
Joseph Shewell,APS,Quaker,1840,1868
Joseph Shewell,QCA,Quaker,1837,1840
George Stacey,QCA,Quaker,1837,1848
Joseph Storrs,QCA,Quaker,1837,1848
John M Albright,APS,Quaker,1860,1868
G W Alexander,APS,Quaker,1851,1868
Henry Alexander,APS,Quaker,1860,1867
R D Alexander,APS,Quaker,1839,1861
Thomas Allis,APS,Quaker,1856,1868
John D Appleton,APS,Quaker,1864,1868
Caroline Armistead,APS,Quaker,1861,1866
Joseph Armistead,APS,Quaker,1861,1865
Edward Ash,APS,Quaker,1839,1861
Alfred Backhouse,APS,Quaker,1860,1868
Edmund Backhouse,APS,Quaker,1861,1868
Edward Jun Backhouse,APS,Quaker,1851,1856
James Jun Backhouse,APS,Quaker,1863,1868
John Church Backhouse,APS,Quaker,1852,1853
J E Baker,APS,Quaker,1861,1868
James Baker,APS,Quaker,1861,1868
A P Balkwill,APS,Quaker,1862,1863
William Ball,APS,Quaker,1840,1867
Eliza Barclay,APS,Quaker,1851,1867
J Gurney Barclay,APS,Quaker,1852,1853
Jonathan Barrett,APS,Quaker,1860,1862
R Barrett,APS,Quaker,1853,1861
R C Barrow,APS,Quaker,1860,1865
S Barter,APS,Quaker,1861,1863
John D Bassett,APS,Quaker,1851,1868
John Baynes,APS,Quaker,1838,1839
John Beaumont,APS,Quaker,1839,1861
Rebecca Beaumont,APS,Quaker,1860,1867
William Beaumont,APS,Quaker,1860,1868
Samuel Beck,APS,Quaker,1861,1867
Deborah Beesley,APS,Quaker,1860,1868
Paul Bevan,APS,Quaker,1860,1868
Robert Bevan,APS,Quaker,1851,1855
Martha A Binyon,APS,Quaker,1866,1868
Thomas Binyon,APS,Quaker,1851,1861
S Birchall,APS,Quaker,1861,1863
Thomas Blain,APS,Quaker,1865,1868
J Blunsom,APS,Quaker,1861,1866
W Bott,APS,Quaker,1862,1863
Christopher Bowley,APS,Quaker,1838,1863
W C Bowley,APS,Quaker,1860,1863
Edwin Bracher,APS,Quaker,1861,1867
James Bracher,APS,Quaker,1861,1862
Lucy Bradshaw,APS,Quaker,1860,1862
G S Brady,APS,Quaker,1861,1862
Joseph B Braithwaite,APS,Quaker,1866,1868
S Braithwaite,APS,Quaker,1862,1863
Charles Brewin,APS,Quaker,1840,1841
Robert Brewin,APS,Quaker,1860,1868
Thomas Brewin,APS,Quaker,1860,1868
William Brewin,APS,Quaker,1860,1868
Francis Brown,APS,Quaker,1861,1868
Gopsill Brown,APS,Quaker,1860,1861
W W Brown,APS,Quaker,1861,1867
J F Burgess,APS,Quaker,1860,1862
Wilson Burgess,APS,Quaker,1852,1853
Henry Burlingham,APS,Quaker,1861,1868
Jonathan Burtt,APS,Quaker,1847,1868
P Burtt,APS,Quaker,1861,1862
James Cadbury,APS,Quaker,1838,1868
John M Candler,APS,Quaker,1839,1868
Edward Carroll,APS,Quaker,1865,1866
Joseph Cash,APS,Quaker,1863,1868
Newman Cash,APS,Quaker,1838,1839
William Cash,APS,Quaker,1839,1841
R D Catchpool,APS,Quaker,1860,1868
Thomas Catchpool,APS,Quaker,1838,1856
Thomas Chalk,APS,Quaker,1839,1841
Elizabeth Charelton,APS,Quaker,1861,1868
James Charleton,APS,Quaker,1839,1840
Robert Charleton,APS,Quaker,1856,1868
Richard Christy,APS,Quaker,1840,1867
Cyrus Clark,APS,Quaker,1861,1862
James Clark (2),APS,Quaker,1860,1867
Joseph Clark,APS,Quaker,1860,1867
W S Clark,APS,Quaker,1861,1867
George Cook,APS,Quaker,1866,1867
J H Cotterell,APS,Quaker,1862,1863
Elliott Cresson,APS,Quaker,1839,1853
W D Crewdson,APS,Quaker,1838,1841
Ann Cropper,APS,Quaker,1861,1868
James Cropper,APS,Quaker,1866,1868
John Cropper,APS,Quaker,1866,1868
Joseph Crosfield,APS,Quaker,1861,1868
William Crosfield,APS,Quaker,1861,1865
Jeremiah Cross,APS,Quaker,1861,1867
Martha Cross,APS,Quaker,1860,1861
Edward A Crouch,APS,Quaker,1857,1861
Abraham Crowley,APS,Quaker,1851,1856
Frederick Crowley,APS,Quaker,1865,1868
J Cudworth,APS,Quaker,1860,1864
Mary Cudworth,APS,Quaker,1861,1868
William Cudworth,APS,Quaker,1861,1868
Lucy Darby,APS,Quaker,1851,1856
Richard Day,APS,Quaker,1851,1852
William Dent,APS,Quaker,1851,1856
Barnard Dickinson,APS,Quaker,1851,1854
Elizabeth G Dimsdale,APS,Quaker,1867,1868
J Doubleday,APS,Quaker,1866,1867
R Doubleday,APS,Quaker,1866,1867
Joseph Eaton,APS,Quaker,1839,1859
Thomas Emmott,APS,Quaker,1866,1868
Mary Exton,APS,Quaker,1852,1861
William Exton,APS,Quaker,1851,1852
Abraham Fisher,APS,Quaker,1859,1866
Rachel Fowler,APS,Quaker,1851,1868
Thomas Fowler,APS,Quaker,1838,1852
Alfred L Fox,APS,Quaker,1867,1868
Francis E Fox,APS,Quaker,1838,1868
Frederick H Fox,APS,Quaker,1862,1868
J G Fox,APS,Quaker,1858,1859
R Barclay Fox,APS,Quaker,1851,1858
Philip Frith,APS,Quaker,1839,1841
Frederick Fryer,APS,Quaker,1861,1868
John Gayner,APS,Quaker,1865,1866
Deborah Gibson,APS,Quaker,1866,1867
E Gilkes,APS,Quaker,1861,1862
Charles Gillett,APS,Quaker,1860,1868
Jonathan Gillett,APS,Quaker,1860,1868
Burwood Godlee,APS,Quaker,1839,1868
Alexander Grace,APS,Quaker,1862,1868
Anna Gurney,APS,Quaker,1851,1858
Edmund Gurney,APS,Quaker,1851,1856
Henry E Gurney,APS,Quaker,1855,1867
John Gurney,APS,Quaker,1839,1856
Samuel Gurney,APS,Quaker,1838,1868
Daniel P Hack,APS,Quaker,1851,1868
John Barton Hack,APS,Quaker,1839,1852
Cornelius Hanbury,APS,Quaker,1838,1868
Cornelius x Jun Hanbury,APS,Quaker,1866,1868
Daniel Bell Hanbury,APS,Quaker,1851,1868
Samuel Hare,APS,Quaker,1861,1867
Charles L Harford,APS,Quaker,1838,1856
John Harford,APS,Quaker,1838,1852
Summers Harford,APS,Quaker,1838,1856
William Hargreaves,APS,Quaker,1860,1868
John Harlock,APS,Quaker,1860,1868
Theodore Harris,APS,Quaker,1862,1868
Gray Hester,APS,Quaker,1861,1868
M A Hewitson,APS,Quaker,1867,1868
Henry Hipsley,APS,Quaker,1862,1868
John Hodgkin,APS,Quaker,1851,1868
J Holdsworth,APS,Quaker,1860,1862
Richard Holdsworth,APS,Quaker,1864,1868
G B Holmes,APS,Quaker,1840,1841
S Horman-Fisher,APS,Quaker,1857,1858
Robert Horne,APS,Quaker,1860,1868
John Horniman,APS,Quaker,1860,1868
Charles Horsnaill,APS,Quaker,1860,1867
W C Horsnaill,APS,Quaker,1860,1862
Sarah Hotham,APS,Quaker,1860,1867
Luke Howard,APS,Quaker,1851,1853
William Howitt,APS,Quaker,1839,1852
Rachel Hubbert,APS,Quaker,1866,1867
Joseph Hudson,APS,Quaker,1861,1862
John Huntley,APS,Quaker,1864,1867
Joseph Huntley,APS,Quaker,1860,1868
Martha Hutchinson,APS,Quaker,1839,1841
R Impey,APS,Quaker,1861,1864
Edward James,APS,Quaker,1860,1868
A Janson,APS,Quaker,1861,1862
William Janson,APS,Quaker,1852,1868
Andrew Johnston,APS,Quaker,1838,1867
Andrew & Jun Johnston,APS,Quaker,1861,1863
John Jowett,APS,Quaker,1860,1868
W D King,APS,Quaker,1862,1866
J H Knight,APS,Quaker,1860,1862
T Knott,APS,Quaker,1860,1861
Edward A Leatham,APS,Quaker,1851,1868
Isabella Lister,APS,Quaker,1838,1841
Wilson Lloyd,APS,Quaker,1866,1868
Haggar Lowe,APS,Quaker,1838,1868
Edmund Lucas,APS,Quaker,1851,1865
Frederick Lucas,APS,Quaker,1839,1841
Jeffrey Lucas,APS,Quaker,1840,1855
Martha Lucas,APS,Quaker,1851,1856
Samuel Lucas,APS,Quaker,1851,1868
William Jun Lucas,APS,Quaker,1839,1861
Harford Lury,APS,Quaker,1860,1866
J E Lury,APS,Quaker,1853,1868
W Mann,APS,Quaker,1860,1861
Caroline Marriage,APS,Quaker,1860,1868
Edward Marsh,APS,Quaker,1857,1868
Thomas William Marsh,APS,Quaker,1860,1868
Thomas Maw,APS,Quaker,1839,1841
Edward C May,APS,Quaker,1839,1863
Francis May,APS,Quaker,1860,1866
John Mayfield,APS,Quaker,1847,1868
Josiah Merrick,APS,Quaker,1860,1868
John Morland,APS,Quaker,1839,1868
George L Neighbour,APS,Quaker,1847,1868
Josiah Newman,APS,Quaker,1867,1868
William Norris,APS,Quaker,1860,1868
Thomas Norton,APS,Quaker,1860,1868
William Norton,APS,Quaker,1861,1868
William Nutter,APS,Quaker,1860,1867
J J Packer,APS,Quaker,1861,1863
George Palmer,APS,Quaker,1860,1868
Reuben C Payne,APS,Quaker,1860,1868
Arthur Pease,APS,Quaker,1861,1867
Edward Pease,APS,Quaker,1838,1868
Gurney Pease,APS,Quaker,1865,1867
Henry Fell Pease,APS,Quaker,1851,1868
John Pease,APS,Quaker,1851,1868
John B Pease,APS,Quaker,1852,1868
Joseph Pease,APS,Quaker,1838,1867
Joseph Whitwell Pease,APS,Quaker,1866,1867
Susan Pease,APS,Quaker,1851,1852
Thomas Pease,APS,Quaker,1861,1868
Algernon Peckover,APS,Quaker,1851,1868
William Peckover,APS,Quaker,1866,1868
Robert H Penney,APS,Quaker,1866,1868
Isaac Pitt,APS,Quaker,1860,1868
Jacob Post,APS,Quaker,1839,1852
Joseph T Price,APS,Quaker,1838,1856
Lydia Prideaux,APS,Quaker,1860,1868
Samuel Priestman,APS,Quaker,1860,1866
John Pryor,APS,Quaker,1852,1853
G R Pumphrey,APS,Quaker,1862,1863
W P Read,APS,Quaker,1862,1863
Isaac Reckitt,APS,Quaker,1861,1862
Jonathan Rees,APS,Quaker,1851,1855
Jane Reynolds,APS,Quaker,1838,1856
G E Richardson,APS,Quaker,1860,1861
John Rickman,APS,Quaker,1839,1852
Josephina Rickman,APS,Quaker,1839,1852
Matilda Rickman,APS,Quaker,1851,1852
Priscilla Rickman,APS,Quaker,1840,1841
R Rickman,APS,Quaker,1838,1864
R P Rickman,APS,Quaker,1860,1866
Isaac Robson,APS,Quaker,1862,1868
J S Robson,APS,Quaker,1861,1868
Joseph Rosling,APS,Quaker,1860,1861
Samuel Rosling,APS,Quaker,1866,1868
John Rowntree,APS,Quaker,1855,1868
W Rowntree,APS,Quaker,1860,1861
Sarah Rundell,APS,Quaker,1851,1857
John F Rutter,APS,Quaker,1863,1868
Samuel Rutter,APS,Quaker,1862,1867
E Sayce,APS,Quaker,1860,1861
Hannah Scarr,APS,Quaker,1861,1867
F Seebohm,APS,Quaker,1861,1862
John R Seekings,APS,Quaker,1862,1867
James Sessions,APS,Quaker,1851,1860
Lydia Sessions,APS,Quaker,1865,1866
Robert Sessions,APS,Quaker,1861,1868
Abraham Sewell,APS,Quaker,1860,1867
E F Sewell,APS,Quaker,1860,1861
Joseph Sewell,APS,Quaker,1851,1852
Phillip Sewell,APS,Quaker,1851,1857
Joseph Sharples,APS,Quaker,1838,1868
John T Shewell,APS,Quaker,1852,1867
Thomas Short,APS,Quaker,1861,1868
W Dillwyn Sims,APS,Quaker,1851,1866
W Skinner,APS,Quaker,1861,1862
Bartholomew Smith,APS,Quaker,1861,1868
George Smithson,APS,Quaker,1865,1867
E P Southall,APS,Quaker,1838,1839
Sarah Southall,APS,Quaker,1864,1868
J M Sparkes,APS,Quaker,1861,1867
H Squire,APS,Quaker,1860,1861
John Stansfield,APS,Quaker,1860,1867
Joseph Sterry,APS,Quaker,1851,1868
Sarah Sterry,APS,Quaker,1860,1862
J L Stevens,APS,Quaker,1860,1866
Charles Sturge,APS,Quaker,1860,1863
Edmund Sturge,APS,Quaker,1860,1863
George Sturge,APS,Quaker,1867,1868
H J Sturge,APS,Quaker,1865,1868
Samuel Sturge,APS,Quaker,1851,1856
Thomas M Sturge,APS,Quaker,1838,1867
Walter Sturge,APS,Quaker,1860,1868
Jemima Swan,APS,Quaker,1862,1868
William Tanner,APS,Quaker,1860,1866
W Tatum,APS,Quaker,1860,1863
Edward Thomas,APS,Quaker,1851,1855
George Thomas,APS,Quaker,1851,1868
Samuel Thompson,APS,Quaker,1839,1841
Fielden Thorpe,APS,Quaker,1862,1868
E O Tindale,APS,Quaker,1860,1861
Robert Tindall,APS,Quaker,1839,1840
Joshua Treffry,APS,Quaker,1860,1868
Nathaniel Tregellis,APS,Quaker,1859,1868
Elizabeth Tuckett,APS,Quaker,1840,1841
Francis Tuckett,APS,Quaker,1840,1855
P Debell Tuckett,APS,Quaker,1839,1867
D Tuke,APS,Quaker,1861,1863
J H Tuke,APS,Quaker,1862,1863
Samuel Tuke,APS,Quaker,1840,1861
Ann Tweedy,APS,Quaker,1861,1868
R Tweedy,APS,Quaker,1860,1861
William Tweedy,APS,Quaker,1838,1855
Richard Veale,APS,Quaker,1852,1868
William Veale,APS,Quaker,1864,1865
John Wadge,APS,Quaker,1838,1839
F J Walker,APS,Quaker,1860,1861
Marriage Wallis,APS,Quaker,1861,1867
Charles B Warner,APS,Quaker,1851,1852
Septimus Warner,APS,Quaker,1862,1863
Lucy Westcombe,APS,Quaker,1865,1868
Thomas Westcombe,APS,Quaker,1860,1868
Benjamin Wheeler,APS,Quaker,1851,1857
Frederick Wheeler,APS,Quaker,1851,1868
Samuel Wheeler,APS,Quaker,1852,1855
John Whiting,APS,Quaker,1862,1868
John Wiblin,APS,Quaker,1861,1868
Caleb Williams,APS,Quaker,1854,1868
John E Wilson,APS,Quaker,1860,1868
Joshua Wilson,APS,Quaker,1860,1861
F Woodhead,APS,Quaker,1861,1863
W Woolston,APS,Quaker,1861,1862
Francis Wright,APS,Quaker,1838,1839
S W Wright,APS,Quaker,1861,1862
